image_id,image_path,device,set_code,set_number,variant,angle,distance_cm,corner_tl_x,corner_tl_y,corner_tr_x,corner_tr_y,corner_br_x,corner_br_y,corner_bl_x,corner_bl_y
ph_0019,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_tiltright_05.jpg,phone,BLK,026,regholo,tiltright,7,362,561,2016,10,2029,3470,262,3094
ph_0020,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_zoomedin_06.jpg,phone,BLK,026,regholo,zoomedin,7,127,3,2960,10,2976,3870,137,3911
ph_0021,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_zoomedout_07.jpg,phone,BLK,026,regholo,zoomedout,20,1088,1313,1999,1330,2019,2617,1055,2617
ph_0022,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_topdown_01.jpg,phone,BLK,046,ex,topdown,10,675,628,2553,635,2570,3262,672,3276
ph_0023,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_yawtop_04.jpg,phone,BLK,046,ex,yawtop,7,204,1169,2788,1246,2304,3652,544,3682
ph_0024,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_yawbottom_05.jpg,phone,BLK,046,ex,yawbottom,7,950,1616,2220,1602,2570,3575,591,3548
ph_0025,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_tiltleft_02.jpg,phone,BLK,046,ex,tiltleft,7,507,1018,1861,779,1821,3333,433,3050
ph_0026,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_tiltright_03.jpg,phone,BLK,046,ex,tiltright,7,504,1008,1868,782,1814,3363,413,3040
ph_0027,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_zoomedin_06.jpg,phone,BLK,046,ex,zoomedin,7,174,110,2876,147,2869,3941,178,3934
ph_0028,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_046_normal__phone_zoomedout_07.jpg,phone,BLK,046,ex,zoomedout,20,1102,1354,1982,1357,1982,2610,1088,2590
ph_0029,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_topdown_01.jpg,phone,BLK,156,fullart,topdown,10,702,742,2268,725,2261,2906,729,2899
ph_0030,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_yawtop_02.jpg,phone,BLK,156,fullart,yawtop,7,315,1004,2452,957,2284,3356,658,3346
ph_0031,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_yawbottom_03.jpg,phone,BLK,156,fullart,yawbottom,7,739,897,2231,913,2520,3128,403,3101
ph_0032,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_tiltleft_04.jpg,phone,BLK,156,fullart,tiltleft,7,645,507,2385,903,2489,3386,551,3719
ph_0033,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_tiltright_05.jpg,phone,BLK,156,fullart,tiltright,7,624,823,2204,389,2284,3440,547,3175
ph_0034,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_zoomedin_06.jpg,phone,BLK,156,fullart,zoomedin,7,114,16,2990,0,2997,3988,104,3981
ph_0035,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_156_fullart__phone_zoomedout_07.jpg,phone,BLK,156,fullart,zoomedout,20,1034,1290,2005,1290,2002,2634,1041,2634
ph_0036,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_topdown_01.jpg,phone,SHS,084,revholo,topdown,10,591,829,2607,796,2620,3642,611,3645
ph_0037,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_yawtop_02.jpg,phone,SHS,084,revholo,yawtop,7,23,1172,2647,1118,2325,3551,577,3544
ph_0038,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_yawbottom_03.jpg,phone,SHS,084,revholo,yawbottom,7,752,971,2331,1004,2735,3376,309,3360
ph_0039,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_tiltleft_04.jpg,phone,SHS,084,revholo,tiltleft,7,947,319,2721,806,2607,3333,776,3659
ph_0040,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_tiltright_05.jpg,phone,SHS,084,revholo,tiltright,7,369,927,2005,537,2066,3739,362,3346
ph_0041,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_zoomedin_06.jpg,phone,SHS,084,revholo,zoomedin,7,127,10,2899,0,2946,3887,154,3884
ph_0042,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/SHS_084_revholo__phone_zoomedout_07.jpg,phone,SHS,084,revholo,zoomedout,20,1058,1276,1992,1286,1992,2610,1038,2590
